true_label_sequence,predicted_label_sequence
44444444444444444400000000000000000333333333333333333330000000000000000000000000000000000000111111111111111111111100000000005555555555555555555550000000000000000000000000000077777777777777777770000008888888888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111144444444444444444444444444455555333333333333333333366662222222222222222777777777777777777777777888888888888888888888888880000000000000000000000000000000044444444444444444444444444444444443333333333333333333332222222222222222222222222222111111111111111111111111111111111100000555555555555555555555556666666666666666666666666666666777777778888888888888888888888888888888888888888888000000000000000
00000000004444444444444444440000000000000000033333333333333333333000000000000000000000000000000000000011111111111111111111110000000000555555555555555555555000000000000000000000000000007777777777777777777000000888888888888888888880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000444444000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111144444444444444444444445555555555555333333366666666666666666622222222777777777777777777777777788888888888888888888888888888888000000000000000000000000000000000000000000000000000000004444444400000033333333333333333332222222000000000000000000000000000111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000077777777777788888888888888888800000000000000
00000000000000000000444444444444444444000000000000000003333333333333333333300000000000000000000000000000000000001111111111111111111111000000000055555555555555555555500000000000000000000000000000777777777777777777700000088888888888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111114444444444444444444444444444445533333333333333366666666662222222222222777777777777777777777778888888888888888888888888888888800000000000000000000000000000000044444444444444444444444444444443333333333333333333333222222222222222222222222200011111111111111111111111000000000000000055555555555555555555566666666666666666666666666666000000000888888888888888888888888888888888880000
00000000000000000000000000000044444444444444444400000000000000000333333333333333333330000000000000000000000000000000000000111111111111111111111100000000005555555555555555555550000000000000000000000000000077777777777777777770000008888888888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000055555555555555555566666666666666666666666666666664444444444447777788888888888888888883333666666666666666666666222222222227777777777777777777788888888888888888888888888888888000000000000000000000000000000000000000000000000000004444444000000033333333333333000000002222000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088888888888000000000
00000000000000000000000000000000000000004444444444444444440000000000000000033333333333333333333000000000000000000000000000000000000011111111111111111111110000000000555555555555555555555000000000000000000000000000007777777777777777777000000888888888888888888880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000444444444444444444433333333333333333322222222222222222221111111100000000000000000055555555555555555555555556666666666666666666666666666664444477777777777778888888888888888883333336666666666666666622222222227777777777777777777778888888888888888888888888888888000000000000000000000000000000000000000000000000000000000000000000000003333333300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000444444444444444444000000000000000003333333333333333333300000000000000000000000000000000000001111111111111111111111000000000055555555555555555555500000000000000000000000000000777777777777777777700000088888888888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000444444444444444444444444433333333333333333222222222222222222222222222222222222000000000001115555555555555555555555555566666666666666666666666666444444477777777777777888888888888888833666666666666666666666222222222777777777777777777777888888888888888888888888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000044444444444444444400000000000000000333333333333333333330000000000000000000000000000000000000111111111111111111111100000000005555555555555555555550000000000000000000000000000077777777777777777770000008888888888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000004444444444444444444444444444443333333333333333333333222222222222222222222222222211111111111111111111111111115555555555555566666666666666666677777777777777777777888888888888886666666666666666666666663333377777777777777777777788888888888888888888888888888888888880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000004444444444444444440000000000000000033333333333333333333000000000000000000000000000000000000011111111111111111111110000000000555555555555555555555000000000000000000000000000007777777777777777777000000888888888888888888880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000004444444444444444444444333333333333333333333332222222222222222222222222222222333333311111111111111115111111111115555555555555566666666666661144477777777777777777788888888888888666666666666666666666663333327777777777777777777777888888888888888888888888888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000444444444444444444000000000000000003333333333333333333300000000000000000000000000000000000001111111111111111111111000000000055555555555555555555500000000000000000000000000000777777777777777777700000088888888888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000044444444444444444444444444444444433333333333333333333222222222222222333333322222222211111111111111111111155555555555555666666666666666117777777777775555555555555588886666666666666666666666666644447777777777777777777788888888888888888888888888888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044444444444444444400000000000000000333333333333333333330000000000000000000000000000000000000111111111111111111111100000000005555555555555555555550000000000000000000000000000077777777777777777770000008888888888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000004444444444444444444444444444444444444444443333333333333333332222222222222233333322222222222222222211111111111555555555555556666666666666661111177777777775555555555555555888666666666666666666666666666447777777777777777777778888888888888888888888888888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
